statesOver,sellDay,items,cumulative,numSold,logSold,day
AK,2021-07-31,0,0,0,0,731
AK,2021-08-01,0,0,0,0,801
AK,2021-08-02,0,0,0,0,802
AK,2021-08-03,0,0,0,0,803
AK,2021-08-04,0,0,0,0,804
AK,2021-08-05,0,0,0,0,805
AK,2021-08-06,0,0,0,0,806
AK,2021-08-07,0,0,0,0,807
AK,2021-08-08,0,0,0,0,808
AK,2021-08-09,0,0,0,0,809
AK,2021-08-10,0,0,0,0,810
AK,2021-08-11,0,0,0,0,811
AK,2021-08-12,0,0,0,0,812
AK,2021-08-13,0,0,0,0,813
AK,2021-08-14,0,0,0,0,814
AK,2021-08-15,0,0,0,0,815
AK,2021-08-16,0,0,0,0,816
AK,2021-08-17,0,0,0,0,817
AK,2021-08-18,0,0,0,0,818
AK,2021-08-19,0,0,0,0,819
AK,2021-08-20,0,0,0,0,820
AK,2021-08-21,0,0,0,0,821
AK,2021-08-22,0,0,0,0,822
AK,2021-08-23,0,0,0,0,823
AK,2021-08-24,0,0,0,0,824
AK,2021-08-25,0,0,0,0,825
AK,2021-08-26,0,0,0,0,826
AK,2021-08-27,0,0,0,0,827
AK,2021-08-28,0,0,0,0,828
AK,2021-08-29,0,0,0,0,829
AK,2021-08-30,0,0,0,0,830
AK,2021-08-31,0,0,0,0,831
AK,2021-09-01,0,0,0,0,901
AK,2021-09-02,0,0,0,0,902
AK,2021-09-03,0,0,0,0,903
AK,2021-09-04,0,0,0,0,904
AK,2021-09-05,0,0,0,0,905
AK,2021-09-06,0,0,0,0,906
AK,2021-09-07,0,0,0,0,907
AK,2021-09-08,0,0,0,0,908
AK,2021-09-09,0,0,0,0,909
AK,2021-09-10,0,0,0,0,910
AK,2021-09-11,0,0,0,0,911
AK,2021-09-12,0,0,0,0,912
AK,2021-09-13,0,0,0,0,913
AK,2021-09-14,0,0,0,0,914
AK,2021-09-15,0,0,0,0,915
AK,2021-09-16,0,0,0,0,916
AK,2021-09-17,0,0,0,0,917
AK,2021-09-18,0,0,0,0,918
AK,2021-09-19,0,0,0,0,919
AK,2021-09-20,0,0,0,0,920
AK,2021-09-21,0,0,0,0,921
AK,2021-09-22,0,0,0,0,922
AK,2021-09-23,0,0,0,0,923
AK,2021-09-24,0,0,0,0,924
AK,2021-09-25,0,0,0,0,925
AK,2021-09-26,0,0,0,0,926
AK,2021-09-27,0,0,0,0,927
AK,2021-09-28,0,0,0,0,928
AK,2021-09-29,0,0,0,0,929
AK,2021-09-30,1,1,1,0.6931471805599453,930
AK,2021-10-01,0,1,1,0.6931471805599453,1001
AK,2021-10-02,0,1,1,0.6931471805599453,1002
AK,2021-10-03,0,1,1,0.6931471805599453,1003
AK,2021-10-04,0,1,1,0.6931471805599453,1004
AK,2021-10-05,0,1,1,0.6931471805599453,1005
AK,2021-10-06,0,1,1,0.6931471805599453,1006
AK,2021-10-07,0,1,1,0.6931471805599453,1007
AK,2021-10-08,0,1,1,0.6931471805599453,1008
AL,2021-07-31,0,0,0,0,731
AL,2021-08-01,0,0,0,0,801
AL,2021-08-02,0,0,0,0,802
AL,2021-08-03,0,0,0,0,803
AL,2021-08-04,0,0,0,0,804
AL,2021-08-05,0,0,0,0,805
AL,2021-08-06,0,0,0,0,806
AL,2021-08-07,0,0,0,0,807
AL,2021-08-08,0,0,0,0,808
AL,2021-08-09,0,0,0,0,809
AL,2021-08-10,0,0,0,0,810
AL,2021-08-11,0,0,0,0,811
AL,2021-08-12,0,0,0,0,812
AL,2021-08-13,0,0,0,0,813
AL,2021-08-14,0,0,0,0,814
AL,2021-08-15,0,0,0,0,815
